"id","title","description","author","imageUrls","category","featured","createdAt","updatedAt"
"f106ce6a20ef4b5f9c8a847e27bd66e2","Build 1","Add a description for this build.","","[""/images/builds/1.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"f7af8da84dc745dc8dd7b1f2a7e1b91f","Build 2","Add a description for this build.","","[""/images/builds/2.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"043609902ff542d58a9e781154d46206","Build 3","Add a description for this build.","","[""/images/builds/3.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"241d75c9bc5d4c5fa64d34af0f3118ce","Build 4","Add a description for this build.","","[""/images/builds/4.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"af5c6d3385af4e44968c74eb853393d1","Build 5","Add a description for this build.","","[""/images/builds/5.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"da4e56bf1a704d018362b25c5037346c","Build 6","Add a description for this build.","","[""/images/builds/6.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"7e74e8f14e0a4d03b8a20eb954b297ce","Build 7","Add a description for this build.","","[""/images/builds/7.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"cd36989407064ff8a074c5aaef9da29f","Build 8","Add a description for this build.","","[""/images/builds/8.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"446d6b41629840a3b98f646ec9a77d24","Build 9","Add a description for this build.","","[""/images/builds/9.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"83b213458b2b455c907b358fb84902dc","Build 10","Add a description for this build.","","[""/images/builds/10.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"c9ccf0ca626c48fdbe0b6fd04d764b9e","Build 11","Add a description for this build.","","[""/images/builds/11.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"cdcd076223cb4c10ae4b447b27a5a643","Build 12","Add a description for this build.","","[""/images/builds/12.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"62c75ed8c7564f8681a7aa160bf6559a","Build 13","Add a description for this build.","","[""/images/builds/13.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"63ae316437a14745aa9365beb1bb4283","Build 14","Add a description for this build.","","[""/images/builds/14.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"5d469cf6bdf443589a32fc0c53881876","Build 15","Add a description for this build.","","[""/images/builds/15.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"40862416cc84498fa873ccd7c52fdd54","Build 16","Add a description for this build.","","[""/images/builds/16.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"116b15af8c8244f3b0969933a185a5ae","Build 17","Add a description for this build.","","[""/images/builds/17.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"9982a23b15f74b1cbc9088b426b2ce19","Build 18","Add a description for this build.","","[""/images/builds/18.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"4c54f5d9b367407d89163643f5afba7e","Build 19","Add a description for this build.","","[""/images/builds/19.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"50dab6186b144e789ea92e53a96f3989","Build 20","Add a description for this build.","","[""/images/builds/20.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"0933e09389144f76b75a94c97852a153","Build 21","Add a description for this build.","","[""/images/builds/21.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"b2598a747e4f48e0bd065249253603bb","Build 22","Add a description for this build.","","[""/images/builds/22.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"780b082e04c8477e9a1a8deb7370ee8f","Build 23","Add a description for this build.","","[""/images/builds/23.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"03793f00806243b9a813c411cfe58e4c","Build 24","Add a description for this build.","","[""/images/builds/24.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
"5fbca92004214ac8af9bf09220a5ded4","Build 25","Add a description for this build.","","[""/images/builds/25.png""]","Survival","false","2026-09-13T17:05:57.098Z","2026-09-13T17:05:57.098Z"
